kappa,omega,psi,delta_x,delta_y,R,logit_R
19.05597325244175,1112.8807801758853,0.5235987755982988,0.025,0.014433756729740644,1.7605922519856734e-05,-10.947257599638338
19.056639937997932,1112.9586512466221,0.5235987755982988,0.025,0.014433756729740644,1.759990862569394e-05,-10.947599247592075
19.05730662355412,1113.0365250416814,0.5235987755982988,0.025,0.014433756729740644,1.7593897465166835e-05,-10.947940856928087
19.057973309110302,1113.1144015610626,0.5235987755982988,0.025,0.014433756729740644,1.758788903668643e-05,-10.948282427657247
19.05863999466649,1113.1922808047661,0.5235987755982988,0.025,0.014433756729740644,1.7581883338664703e-05,-10.948623959790432
19.059306680222672,1113.2701627727918,0.5235987755982988,0.025,0.014433756729740644,1.7575880369514946e-05,-10.9489654533385
19.05997336577886,1113.3480474651394,0.5235987755982988,0.025,0.014433756729740644,1.7569880127651424e-05,-10.94930690831232
19.060640051335042,1113.4259348818093,0.5235987755982988,0.025,0.014433756729740644,1.7563882611489636e-05,-10.949648324722743
19.06130673689123,1113.5038250228015,0.5235987755982988,0.025,0.014433756729740644,1.7557887819446166e-05,-10.949989702580627
19.061973422447416,1113.5817178881157,0.5235987755982988,0.025,0.014433756729740644,1.7551895749938767e-05,-10.950331041896815
19.0626401080036,1113.659613477752,0.5235987755982988,0.025,0.014433756729740644,1.7545906401386292e-05,-10.950672342682154
19.063306793559786,1113.7375117917106,0.5235987755982988,0.025,0.014433756729740644,1.7539919772208726e-05,-10.95101360494748
19.06397347911597,1113.815412829991,0.5235987755982988,0.025,0.014433756729740644,1.7533935860827242e-05,-10.951354828703625
19.064640164672156,1113.893316592594,0.5235987755982988,0.025,0.014433756729740644,1.7527954665664006e-05,-10.951696013961424
19.06530685022834,1113.9712230795187,0.5235987755982988,0.025,0.014433756729740644,1.7521976185142456e-05,-10.952037160731697
19.065973535784526,1114.049132290766,0.5235987755982988,0.025,0.014433756729740644,1.7516000417687074e-05,-10.952378269025267
